bin,distance_min,distance_max,n,success_count,success_rate
Q1,0.666798523428683,4.4661933464479215,14,11,0.7857142857142857
Q2,4.80877176556799,6.507116383548367,14,7,0.5
Q3,6.7876215744296235,9.173139941336656,13,8,0.6153846153846154
Q4,9.301583944813641,18.5988903523373,14,6,0.42857142857142855
